epoch,time,accuracy,cores
1,263.097,0.959,4
2,504.621,0.961667,4
3,737.577,0.963,4
4,1005.17,0.964,4
5,1251.32,0.965667,4
6,1511.03,0.964,4
7,1768.67,0.965333,4
8,2023.9,0.967333,4
9,2299.26,0.967333,4
10,2592.86,0.967667,4
11,2873.74,0.967,4
12,3149.8,0.968333,4
13,3397.6,0.967,4
14,3656.62,0.969,4
15,3925.6,0.966667,4
16,4193.9,0.967667,4
17,4475.84,0.966,4
18,4758.45,0.968,4
19,5061.22,0.968,4
20,5330.51,0.966333,4
