epoch,time,accuracy,cores
1,4.06784e+08,0.966333,7
2,7.26607e+08,0.964333,7
3,1.11791e+09,0.966667,7
4,1.54413e+09,0.966333,7
5,1.93436e+09,0.967667,7
6,2.34684e+09,0.968,7
7,2.75163e+09,0.969,7
8,3.15473e+09,0.97,7
